meter_id,device_id,timestamp,reading,unit
M003,D015,2024-03-15 12:00,4650,kWh
M003,D015,2024-04-15 08:00,5500,kWh
M003,D015,2024-04-15 12:00,5560,kWh
M003,D015,2024-05-15 08:00,6500,kWh
M003,D015,2024-05-15 12:00,6570,kWh
M003,D015,2024-06-15 08:00,7600,kWh
M003,D015,2024-06-15 12:00,7680,kWh
M004,D036,2024-01-15 08:00,20000,kWh
M004,D036,2024-01-15 12:00,20090,kWh
M004,D036,2024-01-15 18:00,20175,kWh
M004,D036,2024-01-16 08:00,20280,kWh
M004,D036,2024-01-16 12:00,20370,kWh
M004,D036,2024-01-16 18:00,20455,kWh
M004,D036,2024-02-15 08:00,23000,kWh
M004,D036,2024-02-15 12:00,23095,kWh
M004,D036,2024-02-15 18:00,23180,kWh
M004,D036,2024-03-15 08:00,26200,kWh
M004,D036,2024-03-15 12:00,26300,kWh
M004,D036,2024-03-15 18:00,26390,kWh
M004,D036,2024-04-15 08:00,29500,kWh
M004,D036,2024-04-15 12:00,29600,kWh
M004,D036,2024-04-15 18:00,29690,kWh
M004,D036,2024-05-15 08:00,33000,kWh
M004,D036,2024-05-15 12:00,33100,kWh
M004,D036,2024-05-15 18:00,33200,kWh
M004,D036,2024-06-15 08:00,36800,kWh
M004,D036,2024-06-15 12:00,36920,kWh
M004,D036,2024-06-15 18:00,37030,kWh
M005,D038,2024-01-15 08:00,50000,kWh
M005,D038,2024-01-15 12:00,50220,kWh
M005,D038,2024-01-15 18:00,50430,kWh
M005,D038,2024-01-16 08:00,50680,kWh
M005,D038,2024-01-16 12:00,50900,kWh
M005,D038,2024-01-16 18:00,51110,kWh
M005,D038,2024-02-15 08:00,58000,kWh
M005,D038,2024-02-15 12:00,58230,kWh
M005,D038,2024-03-15 08:00,66000,kWh
M005,D038,2024-03-15 12:00,66240,kWh
M005,D038,2024-04-15 08:00,74500,kWh
M005,D038,2024-04-15 12:00,74750,kWh
M005,D038,2024-05-15 08:00,83000,kWh
M005,D038,2024-05-15 12:00,83260,kWh
M005,D038,2024-06-15 08:00,92000,kWh
M005,D038,2024-06-15 12:00,92280,kWh
M006,D025,2024-01-15 08:00,800,kWh
M006,D025,2024-01-15 12:00,812,kWh
M006,D025,2024-01-15 18:00,822,kWh
M006,D025,2024-02-15 08:00,1100,kWh
M006,D025,2024-02-15 12:00,1115,kWh
M006,D025,2024-03-15 08:00,1450,kWh
M006,D025,2024-03-15 12:00,1468,kWh
M006,D025,2024-04-15 08:00,1820,kWh
M006,D025,2024-04-15 12:00,1840,kWh
M006,D025,2024-05-15 08:00,2250,kWh
M006,D025,2024-05-15 12:00,2272,kWh
M006,D025,2024-06-15 08:00,2700,kWh
M006,D025,2024-06-15 12:00,2726,kWh
M007,D032,2024-01-15 08:00,500,kWh
M007,D032,2024-01-15 12:00,515,kWh
M007,D032,2024-01-15 18:00,528,kWh
M007,D032,2024-02-15 08:00,900,kWh
M007,D032,2024-02-15 12:00,918,kWh
M007,D032,2024-03-15 08:00,1350,kWh
M007,D032,2024-03-15 12:00,1372,kWh
M007,D032,2024-04-15 08:00,1850,kWh
M007,D032,2024-04-15 12:00,1875,kWh
M007,D032,2024-05-15 08:00,2400,kWh
M007,D032,2024-05-15 12:00,2428,kWh
M007,D032,2024-06-15 08:00,3000,kWh
M007,D032,2024-06-15 12:00,3032,kWh
M001,D001,2023-01-15 08:00,0,kWh
M001,D001,2023-01-15 12:00,12,kWh
M001,D001,2023-02-15 08:00,380,kWh
M001,D001,2023-03-15 08:00,850,kWh
M001,D001,2023-04-15 08:00,1350,kWh
M001,D001,2023-05-15 08:00,1900,kWh
M001,D001,2023-06-15 08:00,2500,kWh
M002,D005,2023-01-15 08:00,0,kWh
M002,D005,2023-02-15 08:00,1100,kWh
M002,D005,2023-03-15 08:00,2300,kWh
M002,D005,2023-04-15 08:00,3600,kWh
M002,D005,2023-05-15 08:00,5000,kWh
M002,D005,2023-06-15 08:00,6500,kWh
